Hour,January,April,Jul,Oct
1,12311.33,10497.30,14994.81,10513.45
2,12007.68,10017.83,13981.87,10098.39
3,11833.61,9780.30,13481.81,9759.16
4,11780.32,9667.80,13218.74,9565.68
5,11798.29,9662.73,13041.74,9490.19
6,11959.00,9805.20,13022.55,9650.68
7,12327.23,10221.83,13244.74,10187.61
8,13237.97,11077.50,13682.81,11106.58
9,14018.68,11469.10,14225.65,11852.00
10,14229.71,11228.67,14548.94,11779.65
11,14133.90,10727.57,14818.58,11328.06
12,13970.48,10345.83,15181.52,10980.10
13,13861.42,10201.20,15639.71,10829.61
14,13803.81,10101.07,16108.61,10855.81
15,13837.52,10091.43,16631.94,11068.45
16,14050.84,10191.93,17110.94,11341.48
17,14473.13,10479.53,17707.97,11834.77
18,15242.97,11076.73,18396.61,12664.32
19,15994.71,11905.37,18974.06,13548.03
20,15836.48,12589.80,19141.35,13989.58
21,15381.39,12973.73,18849.26,13734.03
22,14814.26,12848.13,18396.71,13134.61
23,14048.90,12171.53,17604.87,12337.68
24,13099.74,11260.40,16291.16,11381.90
