Hour,Load,System Inflow,Generation,Load Shed,Cost,Emissions,Infeasible
1,7777.710183404702,2430.76,5346.9501834046905,-1.3137108847710525e-09,86364.29730164523,1467697.151014703,
2,7585.8786187247815,2430.76,5155.118618717069,1.929036675323492e-09,79758.17866379707,1318735.6522789756,
3,7475.909508025511,2430.76,5045.149508021019,3.516561264405027e-09,76175.02917513276,1237939.14424319,
4,7442.243431681717,2430.76,5011.483431681276,0.0,75078.07946468497,1213204.0037110578,
5,7453.596019257209,2430.76,5022.836019256768,0.0,75447.98350486794,1221544.9771661642,
6,7555.124920161901,2430.76,5124.36492016146,0.0,78756.12364386614,1296140.2940259273,
7,7787.755043863818,2430.76,5356.994980942195,6.292150823128395e-05,86712.19590843299,1475539.7454013827,
8,8363.117069935248,2430.76,5840.743281333151,91.61378836612464,107012.43734462342,1838291.4888570725,
9,8856.332353522474,2430.76,6078.902324719549,346.6700271970217,119755.33491599395,2095742.282878966,
10,8989.651026647463,2430.76,6069.371292723294,489.51973287222,120742.43681649586,2156381.882526525,
11,8929.122845478407,2430.76,6097.854615694998,400.50822884514577,124167.21339641696,2151219.2959229485,
12,8825.881896030054,2430.76,6303.080456208451,92.04143982159768,141736.17169496024,2195359.7846407224,
13,8756.98299781174,2430.76,6025.441432099792,300.7815649795525,115012.93270469233,2031018.6928710921,
14,8720.58775183377,2430.76,6019.5702258778865,270.2575252027285,112095.34264951397,2000302.8147439198,
15,8741.884119511558,2430.76,6035.357922087925,275.7661969972926,112547.58602744715,2010500.459295462,
16,8876.649505243553,2430.76,6095.122999771998,350.76650448637076,120892.67123496853,2111185.7099564737,
17,9143.432154506467,2430.76,6223.8019506579385,488.87020384752515,119458.61585170649,2115682.1821518294,
18,9629.780291352143,2430.76,6623.640885417497,575.3794050824332,137347.36667073672,2450125.8579119043,
19,10104.69371283241,2430.76,6963.657614526042,710.2760973605086,144561.53394489604,2641993.3824950354,
20,10004.731557458446,2430.76,6898.392719684245,675.5788372302346,141587.88523093576,2599738.0889758035,
21,9717.227435047169,2430.76,6892.160118271224,394.30731677600613,164901.40232398437,2591485.279824467,
22,9358.941792771777,2430.76,6411.009180926225,517.1726105141195,133130.7168506421,2348922.7690166878,
23,8875.423905917096,2430.76,6094.144586355853,350.51931862594745,120824.0242407226,2110253.8052368504,
24,8275.78995916395,2430.76,5779.751380242597,65.27857844051465,103654.72164215158,1785381.938365447,
