Hour,from,to,Flow,Pn,Pb
1,32,5,-344.28646725974977,0.0,344.2864672591202
1,85,44,-181.5658596187542,0.0,181.5658596187542
1,19,58,95.12334315503053,0.0,0.0
1,58,13,-61.95603116532037,0.0,61.95603116532021
1,55,62,255.51677164597874,0.0,0.0
1,55,25,-236.35857860267598,0.0,236.3585786026761
1,55,64,251.9739719895597,0.0,0.0
1,55,57,-195.71672604984644,0.0,195.71672604984636
1,20,88,-119.49468089452893,0.0,119.49468089452893
1,20,35,-1.3249127631227777,0.0,1.3249127631227777
1,20,8,0.42551293032688503,0.0,0.0
1,20,2,-2.2648343885122566,0.0,2.2648343885122566
1,20,61,-61.22253417122769,0.0,61.22253417122769
1,20,84,275.169303739607,0.0,0.0
1,20,52,-3.1993731530956686,0.0,3.1993731530956664
1,88,8,0.8366572235340448,0.0,0.0
1,88,61,-8.714313245362412,0.0,8.714313245362412
1,88,84,54.097820297216316,0.0,0.0
1,79,17,49.96764048297265,0.0,0.0
1,79,10,-320.5035595360871,0.0,320.5035595360871
1,79,87,53.559341880458085,0.0,0.0
1,79,83,-226.17136690437553,0.0,226.17136690437553
1,35,26,8.947074400833793,0.0,0.0
1,26,39,-199.94481525713715,0.0,199.94481525713707
1,61,26,0.14732367468257826,0.0,0.0
1,67,26,-2.9556208764625236,0.0,2.955620876462522
1,40,26,-8.1052731289909,0.0,8.105273128990873
1,77,26,-0.1473957858632223,0.0,0.1473957858632211
1,46,26,-1.856356548555557,0.0,1.8563565485555529
1,3,26,2.2378729080904534,0.0,0.0
1,28,26,1.194902051200948,0.0,0.0
1,43,26,-65.8294805573249,0.0,65.82948055732476
1,41,26,-3.973907768710892,0.0,3.9739077687108733
1,35,50,-319.0,0.0,319.0
1,42,35,7.926536225220173,0.0,0.0
1,2,35,49.26979499896912,0.0,0.0
1,61,35,-0.428902164381437,0.0,0.42890216438143014
1,67,35,-2.471104050316894,0.0,2.471104050316894
1,40,35,-19.126346142414718,0.0,19.126346142414718
1,77,35,-0.4363870201675434,0.0,0.4363870201675426
1,46,35,-41.310889761813016,0.0,41.310889761813
1,3,35,-0.6907292333557311,0.0,0.6907292333557304
1,52,35,0.12379776240400678,0.0,0.0
1,28,35,0.7954011424476861,0.0,0.0
1,43,35,-4.0693841926235566,0.0,4.069384192623556
1,41,35,-83.02968230226422,0.0,83.02968230226412
1,50,42,-128.76748138254737,0.0,128.76748138254737
1,39,42,-199.94481525713715,0.0,199.94481525713715
1,44,30,0.0,0.0,0.0
1,44,5,-381.7684694605812,0.0,381.7684694605812
1,44,9,0.0,0.0,0.0
1,19,47,-0.09146679599461892,0.0,0.09146679599462004
1,19,13,9.096275416294912,0.0,0.0
1,17,69,-187.69442248596027,0.0,187.69442248596022
1,17,29,237.66206296893293,0.0,0.0
1,87,69,-165.28832977337643,0.0,165.2883297733764
1,87,1,218.8476716538345,0.0,0.0
1,11,5,-721.5130670672413,0.0,721.5130670672413
1,11,81,579.4833647606274,0.0,0.0
1,81,12,237.81771027258392,0.0,0.0
1,81,83,357.8542284059071,0.0,0.0
1,10,18,139.83485187332997,0.0,0.0
1,10,63,-460.33841140941706,0.0,460.33841140941706
1,7,69,1700.0,0.0,0.0
1,21,69,341.5672447961211,0.0,0.0
1,21,54,-750.1373756694976,0.0,750.1373756694977
1,21,57,408.57013087409877,0.0,0.0
1,59,83,-131.68286150153162,0.0,131.68286150153162
1,2,42,104.95597136355222,0.0,0.0
1,27,57,-212.85340482425235,0.0,212.85340482425235
1,8,36,-263.21986251228634,0.0,263.21986251228634
1,8,84,32.17357115727171,0.0,0.0
1,36,31,-50.36645768803403,0.0,50.36645768803402
1,2,61,5.35726044866473,0.0,0.0
1,2,52,1.4169906736316393,0.0,0.0
1,84,61,-20.071756766841716,0.0,20.071756766841716
1,52,61,64.75579107140584,0.0,0.0
1,5,76,251.2935693917715,0.0,0.0
1,5,63,756.9382245002812,0.0,0.0
1,5,89,-600.0,0.0,600.0
1,5,71,-600.0,0.0,600.0
1,5,56,-796.7764265252257,0.0,796.7764265252258
1,5,48,-789.3658694358671,0.0,789.3658694358671
1,5,60,0.0,0.0,0.0
1,6,34,-330.3424982817028,0.0,330.3424982817028
1,67,6,-1.553655492573015,0.0,1.5536554925730148
1,65,6,-13.067286969242293,0.0,13.067286969242282
1,77,6,-74.25372386954415,0.0,74.25372386954415
1,28,6,-8.730093278817266,0.0,8.73009327881725
1,43,6,-4.755741666645252,0.0,4.755741666645252
1,41,6,-3.9984933437789456,0.0,3.9984933437789456
1,48,24,509.7641305640211,0.0,0.0
1,48,68,-1299.1299999998882,0.0,1299.1299999998882
1,84,23,-243.79275671938635,0.0,243.79275671938635
1,37,54,699.041001969383,0.0,0.0
1,51,54,0.0,0.0,0.0
1,33,45,-8.768244123829959,0.0,8.768244123829959
1,67,33,-41.476205628724166,0.0,41.47620562872416
1,40,33,-0.29725603966310665,0.0,0.2972560396631061
1,33,65,-21.18104109116159,0.0,21.181041091161546
1,3,33,-0.06026100517536374,0.0,0.06026100517536337
1,33,16,0.572047411024577,0.0,0.0
1,45,16,12.461755875864977,0.0,0.0
1,74,73,88.03300170562673,0.0,0.0
1,74,69,-301.98044109666495,0.0,301.98044109666495
1,86,69,-243.7295915820104,0.0,243.7295915820104
1,67,40,-2.162078549527897,0.0,2.1620785495278945
1,67,65,-144.0619489015842,0.0,144.06194890158412
1,67,77,-4.241023616665139,0.0,4.241023616665139
1,67,46,-1.030499189892301,0.0,1.0304991898922964
1,67,3,-3.6840495830374747,0.0,3.6840495830374724
1,28,67,1.9088922107909578,0.0,0.0
1,43,67,20.151594007488484,0.0,0.0
1,41,67,1.1652313572496684,0.0,0.0
1,67,16,-35.21689555264957,0.0,35.21689555264956
1,40,65,-1.438391536793064,0.0,1.4383915367930635
1,40,77,-0.14252889495882412,0.0,0.14252889495882348
1,40,46,9.891776914912187,0.0,0.0
1,40,3,-39.40218052721696,0.0,39.4021805272169
1,28,40,1.016491161607991,0.0,0.0
1,43,40,-0.3264925518334883,0.0,0.3264925518334856
1,41,40,10.893257608512833,0.0,0.0
1,40,16,-0.35824081617547127,0.0,0.3582408161754711
1,47,13,82.15590997170393,0.0,0.0
1,73,49,162.21797059175066,0.0,0.0
1,73,69,-222.86590150852868,0.0,222.8659015085285
1,65,38,0.0,0.0,0.0
1,77,65,-93.98577733937763,0.0,93.98577733937748
1,46,65,-1.1068541286180447,0.0,1.1068541286180436
1,3,65,-0.7818250255039131,0.0,0.7818250255039114
1,28,65,4.353920001624204,0.0,0.0
1,43,65,-1.9676581063585468,0.0,1.9676581063585452
1,41,65,-0.7625978686559857,0.0,0.7625978686559849
1,16,65,-11.605829326364367,0.0,11.605829326364344
1,49,15,-179.73000000044703,0.0,179.73000000044703
1,77,14,-161.23032364942154,0.0,161.23032364942154
1,46,77,-0.17294047020732933,0.0,0.17294047020732894
1,28,77,39.18968724238107,0.0,0.0
1,43,77,-1.9262525559100194,0.0,1.9262525559100148
1,41,77,-0.4443441397897732,0.0,0.4443441397897665
1,69,25,426.95374395479143,0.0,0.0
1,46,3,-35.18977296186699,0.0,35.18977296186699
1,46,31,6.915503389950977,0.0,0.0
1,43,46,0.028282653337171802,0.0,0.0
1,41,46,0.426601116117374,0.0,0.0
1,46,16,-32.30766084285381,0.0,32.30766084285381
1,3,31,46.731564767052085,0.0,0.0
1,43,3,-0.4528905511605977,0.0,0.4528905511605972
1,41,3,-0.3299553443065509,0.0,0.3299553443065504
1,3,16,-2.358007566469969,0.0,2.3580075664699045
1,15,53,-179.73000000044703,0.0,179.73000000044703
1,63,82,296.5998130908641,0.0,0.0
1,52,75,0.0,0.0,0.0
1,4,56,-403.22357347470364,0.0,403.22357347470364
1,43,28,-42.076601743879735,0.0,42.076601743879735
1,28,41,45.63497359334262,0.0,0.0
1,43,41,-27.371520993188177,0.0,27.371520993188028
1,16,78,-306.3536262991405,0.0,306.3536262991405
1,85,58,181.5658596187542,0.0,0.0
1,55,88,182.76221466311526,0.0,0.0
1,55,20,198.48234635386868,0.0,0.0
1,70,20,2.240540525638765,0.0,0.0
1,79,26,252.91542545962585,0.0,0.0
1,79,50,190.23251861740607,0.0,0.0
1,44,19,165.00435809805793,0.0,0.0
1,19,6,0.31618724142076066,0.0,0.0
1,59,42,131.68286150153162,0.0,0.0
1,27,36,212.85340482425235,0.0,0.0
1,12,61,237.81771027258392,0.0,0.0
1,18,2,139.83485187332997,0.0,0.0
1,70,61,92.77757457778368,0.0,0.0
1,5,34,330.3424982817028,0.0,0.0
1,47,6,30.05215505115866,0.0,0.0
1,13,6,26.568255125642708,0.0,0.0
1,64,23,251.9739719895597,0.0,0.0
1,62,84,255.51677164597874,0.0,0.0
1,37,33,294.13762922986604,0.0,0.0
1,74,40,213.94743939103822,0.0,0.0
1,86,67,243.7295915820104,0.0,0.0
1,24,47,509.764130564179,0.0,0.0
1,47,65,7.515115283366745,0.0,0.0
1,47,77,44.93184538341595,0.0,0.0
1,47,28,7.965531001392899,0.0,0.0
1,47,43,3.61073417673283,0.0,0.0
1,47,41,2.7585542882094223,0.0,0.0
1,73,65,148.68093262240484,0.0,0.0
1,13,65,3.2746684479146366,0.0,0.0
1,49,77,180.71764694277613,0.0,0.0
1,49,14,161.23032364942154,0.0,0.0
1,13,77,18.890214671209076,0.0,0.0
1,69,46,276.9262439981076,0.0,0.0
1,69,3,216.12857039661708,0.0,0.0
1,70,52,19.341884896577543,0.0,0.0
1,76,13,251.2935693917715,0.0,0.0
1,13,28,3.4503795394928947,0.0,0.0
1,13,43,1.6153081081762617,0.0,0.0
1,25,31,190.59516535211546,0.0,0.0
1,82,52,259.1755097501385,0.0,0.0
1,82,72,37.424303340537115,0.0,0.0
1,4,28,403.22357347470364,0.0,0.0
1,68,80,-1299.13,0.0,1299.1299999998882
1,53,66,-179.73,0.0,179.73000000044703
1,1,41,218.8476716538345,0.0,0.0
1,29,43,237.66206296893293,0.0,0.0
1,54,78,306.3536262991405,0.0,0.0
1,22,54,357.45,0.0,0.0
2,32,5,-321.0289845596999,0.0,321.0289845604096
2,85,44,-172.35376815644688,0.0,172.35376815644688
2,19,58,89.50377734907525,0.0,0.0
2,58,13,-53.91128631403131,0.0,53.91128631403129
2,55,62,230.3137080057103,0.0,0.0
2,55,25,-247.40115752852282,0.0,247.40115752852273
2,55,64,227.12151623565543,0.0,0.0
2,55,57,-87.18691324328971,0.0,87.1869132432895
2,20,88,-103.7420634920635,0.0,103.7420634920635
2,20,35,-1.5236922526454795,0.0,1.5236922526454788
2,20,8,6.013244473084607,0.0,0.0
2,20,2,-2.512587051058592,0.0,2.512587051058592
2,20,61,-89.86543748175019,0.0,89.86543748175015
2,20,84,267.6116932620207,0.0,0.0
2,20,52,-4.514893954434006,0.0,4.514893954434006
2,88,8,1.6718936787734182,0.0,0.0
2,88,61,-13.223499349611487,0.0,13.223499349611487
2,88,84,51.971735807430875,0.0,0.0
2,79,17,254.1271713277213,0.0,0.0
2,79,10,-416.15816417809714,0.0,416.15816417809697
