Hour,Load,System Inflow,Generation,Cost,Emissions,Infeasible
1,7761.357205116245,2430.76,5330.597205116807,82586.76165811131,1337178.1166892166,
2,7237.056519255575,2430.76,4806.29651925454,65017.46074291089,832667.853560504,
3,6978.224010941669,2430.76,4547.464010941221,56794.180332069765,694136.6291818661,
4,6842.058214912915,2430.76,4411.29821491205,52536.09982786332,637953.3275665136,
5,6750.44250085548,2430.76,4319.6825008546475,49676.67368101975,600224.5900529241,
6,6740.509701122359,2430.76,4309.749701122195,49401.46528098309,596593.3490439616,
7,6855.515890424177,2430.76,4424.755890422735,52956.93874185691,643506.0923893068,
8,7082.262194701808,2430.76,4651.502194700797,60047.58885960332,737063.7726212176,
9,7363.23775526078,2430.76,4932.477755260241,69245.79033509908,954086.2119485424,
10,7530.573598185238,2430.76,5099.813598185123,74853.20962239406,1115105.7421940225,
11,7670.140045295107,2430.76,5239.380045295381,79530.07725401434,1249404.069192653,
12,7857.998843374234,2430.76,5427.238843373666,86039.352926802,1413043.2689181885,
13,8095.159318085965,2430.76,5664.399318085983,94897.9653214247,1614475.7033160722,
14,,,,,,1
15,,,,,,1
16,,,,,,1
17,,,,,,1
18,,,,,,1
19,,,,,,1
20,,,,,,1
21,,,,,,1
22,,,,,,1
23,,,,,,1
24,,,,,,1
