Hour,Load,System Inflow,Generation,Load Shed,Cost,Emissions,Infeasible
1,7777.710183404702,2430.76,5346.950183404245,0.0,87312.33255383509,1416960.6322865656,
2,7585.8786187247815,2430.76,5155.11861874164,-1.8815100588653877e-08,80317.66307962831,1305264.3640746828,
3,7475.909508025511,2430.76,5045.149508025511,0.0,76377.97648096982,1233052.570887105,
4,7442.243431681717,2430.76,5011.483431681051,5.387585932936645e-10,75174.10543950445,1210891.886437097,
5,7453.596019257209,2430.76,5022.836019256771,0.0,75579.90633188744,1218368.534049381,
6,7555.124920161901,2430.76,5124.364920161579,1.5330670066759922e-10,79214.62537999656,1285100.4708457813,
7,7787.755043863818,2430.76,5356.99504622903,-3.1552324228911743e-06,87709.16322953638,1426524.585393685,
8,8363.117069935248,2430.76,5914.946171535268,17.4108966184733,120421.75862575306,1927911.1138195992,
9,8856.332353522474,2430.76,6320.901575607591,104.67077789724121,120569.42975938045,2176481.3905913406,
10,8989.651026647463,2430.76,6357.877126206311,201.0139003688411,129233.8452608775,2260287.03741776,
11,8929.122845478407,2430.76,6296.225885965202,202.13695896429903,150038.31932044856,2197369.0455914764,
12,8825.881896030054,2430.76,6331.282732502595,63.83916175120201,133452.74251142686,2571346.2752328026,
13,8756.98299781174,2430.76,6156.680187727697,169.54280878935754,140174.2903972816,2021391.7184947294,
14,8720.58775183377,2430.76,6173.736419564682,116.09133016492113,141392.31435903787,2082660.351720108,
15,8741.884119511558,2430.76,6191.302645538026,119.82147351390016,142899.08840814448,2687812.3813207494,
16,8876.649505243553,2430.76,6245.8182373210575,200.07126792246652,132216.05539477768,2148153.532106869,
17,9143.432154506467,2430.76,6611.420098120004,101.2520547522,152193.94442689756,2472107.4645152185,
18,9629.780291352143,2430.76,6888.090971451024,310.929319901124,154442.59692992916,2766939.3424162874,
19,10104.69371283241,2430.76,7226.240953272055,447.69275788860233,175809.9213552305,3068116.239832389,
20,10004.731557458446,2430.76,7174.75481352845,399.21674254938955,184472.4909777554,2810130.6365780146,
21,9717.227435047169,2430.76,6997.773017376619,288.69441702306256,178918.21339400666,3280278.2271764213,
22,9358.941792771777,2430.76,6776.475221639872,151.7065710618667,180746.64782834353,3276248.486417297,
23,8875.423905917096,2430.76,6276.885759381754,167.77814575801125,177833.00412334458,3186665.9216251946,
24,8275.78995916395,2430.76,5779.645053519774,65.38490448671061,101342.58523626279,1784331.1336152332,
