Hour,from,to,Flow,Pn,Pb
1,32,5,-345.0118699142622,,
1,85,44,-182.18998836219828,,
1,19,58,95.38695182985123,,
1,58,13,-61.781810469935806,,
1,55,62,257.7671284299595,,
1,55,25,-223.10227249312788,,
1,55,64,254.19287667756225,,
1,55,57,-218.75367287905328,,
1,20,88,-121.36411353931908,,
1,20,35,-1.1030262528382746,,
1,20,8,0.018773594550737016,,
1,20,2,-2.004169344469445,,
1,20,61,-55.77911744072594,,
1,20,84,273.69525591285446,,
1,20,52,-2.9348623443260955,,
1,88,8,0.7804885303051776,,
1,88,61,-7.864149658437789,,
1,88,84,53.93687084054329,,
1,79,17,11.200776337207344,,
1,79,10,-303.8765241989065,,
1,79,87,13.112768289745418,,
1,79,83,-189.69653965167709,,
1,35,26,8.738835863037536,,
1,26,39,-168.45600937368,,
1,61,26,0.21175030180190468,,
1,67,26,-2.74804221445606,,
1,40,26,-5.703413983759276,,
1,77,26,-0.13401211670373137,,
1,46,26,-1.3109248206410697,,
1,3,26,9.079068407565444,,
1,28,26,1.2339500712934566,,
1,43,26,-57.84664265826177,,
1,41,26,-3.005140804784844,,
1,35,50,-301.59741250256764,,
1,42,35,6.112743876643066,,
1,2,35,46.648359414065965,,
1,61,35,0.14057966801831867,,
1,67,35,-2.333398908104968,,
1,40,35,-15.992238467363705,,
1,77,35,-0.4170734415770916,,
1,46,35,-33.83770879435775,,
1,3,35,-0.33913226574807,,
1,52,35,0.2793010794291817,,
1,28,35,0.8374146157982612,,
1,43,35,-3.7463069719697017,,
1,41,35,-73.37438246972374,,
1,50,42,-98.69179335436297,,
1,39,42,-168.45600937369272,,
1,44,30,0.0,,
1,44,5,-383.09469976839955,,
1,44,9,0.0,,
1,19,47,-0.07913041469142357,,
1,19,13,9.314203545480098,,
1,17,69,-235.62533681198897,,
1,17,29,246.82611314919632,,
1,87,69,-214.0291414995504,,
1,87,1,227.14190978929582,,
1,11,5,-719.0511083016709,,
1,11,81,576.7221530967881,,
1,81,12,234.79055673442508,,
1,81,83,341.93159636236214,,
1,10,18,152.03584644564944,,
1,10,63,-455.9123706445571,,
1,7,69,1700.0,,
1,21,69,501.1826979337843,,
1,21,54,-938.7857268426002,,
1,21,57,437.60302890881667,,
1,59,83,-152.2350567106855,,
1,2,42,121.02548989401373,,
1,27,57,-218.84935602976384,,
1,8,36,-264.36863709103636,,
1,8,84,32.36996980508883,,
1,36,31,-45.519281061261836,,
1,2,61,4.5962973715995545,,
1,2,52,1.1915304215000742,,
1,84,61,-18.91420060135824,,
1,52,61,62.38596984660444,,
1,5,76,252.62909947297885,,
1,5,63,750.6845748153687,,
1,5,89,-600.0,,
1,5,71,-600.0,,
1,5,56,-795.152505398557,,
1,5,48,-787.7313532751677,,
1,5,60,0.0,,
1,6,34,-332.41250640104363,,
1,67,6,-1.544571376333531,,
1,65,6,-14.568518218375722,,
1,77,6,-75.03481105999225,,
1,28,6,-8.673142991889748,,
1,43,6,-4.721049936957195,,
1,41,6,-3.9575865554542826,,
1,48,24,511.3986467248317,,
1,48,68,-1299.13,,
1,84,23,-245.99442379904914,,
1,37,54,915.7198528333738,,
1,51,54,0.0,,
1,33,45,6.318673111236421,,
1,67,33,-46.202216644038344,,
1,40,33,-0.3266390089447926,,
1,33,65,-4.255134056987686,,
1,3,33,-0.06903712891374436,,
1,33,16,0.2942595110173869,,
1,45,16,6.318673111228236,,
1,74,73,109.38085365265988,,
1,74,69,-328.62567521028063,,
1,86,69,-254.70612465886302,,
1,67,40,-2.4514426774656783,,
1,67,65,-122.98002047485772,,
1,67,77,-3.9651851140282517,,
1,67,46,-1.3404642423423638,,
1,67,3,-4.086529420278833,,
1,28,67,1.8982102484859738,,
1,43,67,20.272837504589006,,
1,41,67,1.1812524360129544,,
1,67,16,-41.16381983658255,,
1,40,65,-1.0481109626743876,,
1,40,77,-0.07865809928787915,,
1,40,46,7.064270622240883,,
1,40,3,-42.75556502962593,,
1,28,40,0.9763642074093202,,
1,43,40,-0.5044126434406664,,
1,41,40,6.406359872204575,,
1,40,16,-0.42990991038051707,,
1,47,13,81.89501225608979,,
1,73,49,180.94091422909605,,
1,73,69,-247.91164607826613,,
1,65,38,0.0,,
1,77,65,-73.4927245350774,,
1,46,65,-0.8047202714290673,,
1,3,65,-0.3376705041462742,,
1,28,65,5.389571010327437,,
1,43,65,-1.5874538071113147,,
1,41,65,-0.5711157746327356,,
1,16,65,-2.964132270390081,,
1,49,15,-179.73000000000002,,
1,77,14,-170.05829317068856,,
1,46,77,-0.10537901884880885,,
1,28,77,39.954456582267056,,
1,43,77,-1.6629165310035603,,
1,41,77,-0.2260605009183294,,
1,69,25,416.3319535848541,,
1,46,3,-35.33348606752054,,
1,46,31,3.422780632540821,,
1,43,46,-0.0973135244904828,,
1,41,46,0.27788974748329665,,
1,46,16,-35.59708275447855,,
1,3,31,43.15108638826871,,
1,43,3,-0.5307736244307222,,
1,41,3,-0.420875423169603,,
1,3,16,-5.468525591210664,,
1,15,53,-179.73000000000002,,
1,63,82,294.7722041708121,,
1,52,75,0.0,,
1,4,56,-404.84749460144303,,
1,43,28,-41.75551296430001,,
1,28,41,45.08433087933071,,
1,43,41,-28.05876973590773,,
1,16,78,-334.38412599077344,,
1,85,58,182.18998836219828,,
1,55,88,185.30061111021178,,
1,55,20,201.25532915444796,,
1,70,20,2.14513478197523,,
1,79,26,266.3539000754254,,
1,79,50,202.90561914820455,,
1,44,19,165.63229785911028,,
1,19,6,0.3226554279889413,,
1,59,42,152.2350567106855,,
1,27,36,218.84935602976373,,
1,12,61,234.79055673442497,,
1,18,2,152.03584644564955,,
1,70,61,92.77351394863513,,
1,5,34,332.41250640104363,,
1,47,6,30.2494812475245,,
1,13,6,27.027029507201632,,
1,64,23,254.19287667756225,,
1,62,84,257.7671284299596,,
1,37,33,331.2303305713033,,
1,74,40,219.24482155762075,,
1,86,67,254.70612465886302,,
1,24,47,511.3986467248317,,
1,47,65,8.134645404438032,,
1,47,77,45.36417885562685,,
1,47,28,7.96146899140124,,
1,47,43,3.594661339382629,,
1,47,41,2.740509483128422,,
1,73,65,176.35158550182973,,
1,13,65,3.5967625223376203,,
1,49,77,190.61262105840763,,
1,49,14,170.05829317068856,,
1,13,77,19.104570334564187,,
1,69,46,282.6248717596309,,
1,69,3,221.32794833039975,,
1,70,52,19.441351269389685,,
1,76,13,252.62909947297885,,
1,13,28,3.451532369250298,,
1,13,43,1.6078698110837752,,
1,25,31,193.22968109172655,,
1,82,52,257.26904879398614,,
1,82,72,37.50315537682593,,
1,4,28,404.8474946014485,,
1,68,80,-1299.13,,
1,53,66,-179.73000000000002,,
1,1,41,227.14190978929582,,
1,29,43,246.82611314919632,,
1,54,78,334.38412599077355,,
1,22,54,357.4499999999998,,
2,32,5,-336.50240308172135,,
2,85,44,-178.2211489509333,,
2,19,58,93.1739778816044,,
2,58,13,-59.59358707155775,,
2,55,62,250.36659482900495,,
2,55,25,-220.8006579523949,,
2,55,64,246.89511189769905,,
2,55,57,-193.90800004330526,,
2,20,88,-117.32545726206263,,
2,20,35,-1.1160500743376183,,
2,20,8,1.0497815761409584,,
2,20,2,-2.017408293354727,,
2,20,61,-59.13774447223631,,
2,20,84,268.5308044291521,,
2,20,52,-3.0987295328283597,,
2,88,8,0.9273492082505896,,
2,88,61,-8.4061086628546,,
2,88,84,52.829340485712066,,
2,79,17,38.500174252576926,,
2,79,10,-324.82348766229165,,
2,79,87,41.4962290461749,,
2,79,83,-213.92639683577204,,
2,35,26,8.609552653463425,,
2,26,39,-167.06442930339836,,
2,61,26,0.2429527385383441,,
2,67,26,-2.876068235557703,,
2,40,26,-6.177099253312406,,
2,77,26,-0.11782970202590448,,
2,46,26,-1.4557088210477005,,
2,3,26,6.641103800464293,,
2,28,26,1.309108303159526,,
2,43,26,-56.947799758355245,,
2,41,26,-2.9405193342181803,,
2,35,50,-296.5875155101006,,
2,42,35,6.089133050295388,,
2,2,35,46.70441811572937,,
2,61,35,0.42160827433696113,,
2,67,35,-2.396341791931274,,
2,40,35,-16.433667465026616,,
2,77,35,-0.39783932370216757,,
2,46,35,-35.46578585188314,,
2,3,35,-0.44624188424568345,,
2,52,35,0.3665373708184809,,
2,28,35,0.9095913050552724,,
2,43,35,-3.6893595584846963,,
2,41,35,-72.11117229193678,,
2,50,42,-98.3528094667779,,
2,39,42,-167.06442930340495,,
2,44,30,0.0,,
2,44,5,-374.7771890890947,,
2,44,9,0.0,,
2,19,47,-0.06582530518288365,,
2,19,13,9.518686092279466,,
2,17,69,-200.99585455187298,,
2,17,29,239.49602880445013,,
2,87,69,-178.81784271338506,,
2,87,1,220.31407175955974,,
2,11,5,-733.122518440749,,
2,11,81,594.304003395292,,
2,81,12,230.52370382594927,,
2,81,83,363.78029956934324,,
2,10,18,152.41410562393094,,
2,10,63,-477.23759328622145,,
2,7,69,1700.0,,
2,21,69,383.463374076749,,
2,21,54,-787.7383609126034,,
2,21,57,404.27498683585463,,
2,59,83,-149.8539027335712,,
2,2,42,121.65246908690722,,
2,27,57,-210.3669867925496,,
2,8,36,-255.89787755397265,,
2,8,84,30.818870534618668,,
2,36,31,-45.53089076142328,,
2,2,61,4.35730323730499,,
2,2,52,1.1125068906362223,,
2,84,61,-19.46276406045581,,
2,52,61,63.960593627620256,,
2,5,76,248.1516770845899,,
2,5,63,767.8185199748114,,
2,5,89,-600.0,,
2,5,71,-600.0,,
2,5,56,-796.1978596301342,,
2,5,48,-792.744972710839,,
2,5,60,0.0,,
2,6,34,-328.57052467000204,,
2,67,6,-1.6256073238889095,,
2,65,6,-15.923922872692991,,
2,77,6,-78.2959833317573,,
2,28,6,-9.04714573732835,,
2,43,6,-4.924832599189507,,
2,41,6,-4.148263069434622,,
2,48,24,506.38502728916,,
2,48,68,-1299.13,,
2,84,23,-238.89886789642023,,
2,37,54,745.8402903885103,,
2,51,54,0.0,,
2,33,45,2.952062323631253,,
2,67,33,-40.972752317466075,,
2,40,33,-0.2540192458585109,,
2,33,65,-10.369509755587444,,
2,3,33,-0.01898661879651886,,
2,33,16,0.13747703046983872,,
2,45,16,2.9520623236198844,,
2,74,73,102.2915106659193,,
2,74,69,-315.5180431946783,,
2,86,69,-249.15994203107766,,
2,67,40,-2.5155798117894363,,
2,67,65,-121.84931700013044,,
2,67,77,-4.312767541449773,,
2,67,46,-1.3258019998744075,,
2,67,3,-4.006606458654758,,
2,28,67,2.0043747046745075,,
2,43,67,22.86099511592738,,
2,41,67,1.2653189451879534,,
2,67,16,-37.20096108051649,,
2,40,65,-1.0127492933754585,,
2,40,77,-0.10469606260649034,,
2,40,46,8.449113788898785,,
2,40,3,-39.91365772783956,,
2,28,40,1.0393068843511966,,
2,43,40,-0.41037946362129674,,
2,41,40,8.832503690150816,,
2,40,16,-0.3442385385540714,,
2,47,13,81.38477723990559,,
2,73,49,167.03463464095807,,
2,73,69,-236.94299299005775,,
2,65,38,0.0,,
2,77,65,-65.31061981485993,,
2,46,65,-0.7980326087943297,,
2,3,65,-0.3493967955793167,,
2,28,65,6.109702861043047,,
2,43,65,-1.4894844597237338,,
2,41,65,-0.5252131810050598,,
2,16,65,-5.1788894622542045,,
2,49,15,-179.73000000000002,,
2,77,14,-163.5014068851175,,
2,46,77,-0.13435878760847952,,
2,28,77,41.69795295615131,,
2,43,77,-1.7304897938325325,,
2,41,77,-0.2860609730688566,,
2,69,25,409.59632064814923,,
2,46,3,-34.425817945628864,,
2,46,31,3.7453429405624092,,
2,43,46,-0.032813659275644724,,
2,41,46,0.355181074252398,,
2,46,16,-30.347512195580634,,
2,3,31,42.48227203913166,,
2,43,3,-0.479639665565216,,
2,41,3,-0.3597983511562326,,
2,3,16,-1.0706138321741605,,
2,15,53,-179.73000000000002,,
2,63,82,290.5809266885899,,
2,52,75,0.0,,
2,4,56,-403.8021403698658,,
2,43,28,-43.5586561511694,,
2,28,41,47.370048413289,,
2,43,41,-27.770299537186474,,
2,16,78,-315.55192947590695,,
2,85,58,178.2211489509333,,
2,55,88,179.33797928188255,,
2,55,20,194.76897198711322,,
2,70,20,2.204048773072639,,
2,79,26,260.518775155987,,
2,79,50,198.23470604332272,,
2,44,19,162.15359501638056,,
2,19,6,0.33595482193456494,,
2,59,42,149.8539027335712,,
2,27,36,210.36698679254937,,
2,12,61,230.52370382594938,,
2,18,2,152.41410562393094,,
2,70,61,92.77982914755125,,
2,5,34,328.570524670002,,
2,47,6,31.00955644691072,,
2,13,6,28.618422899819166,,
2,64,23,246.89511189769905,,
2,62,84,250.36659482900495,,
2,37,33,309.2783283362835,,
2,74,40,213.2265325287591,,
2,86,67,249.15994203107766,,
2,24,47,506.38502728916,,
2,47,65,8.737585945565165,,
2,47,77,47.14759690956345,,
2,47,28,8.238498479322928,,
2,47,43,3.7363758669758553,,
2,47,41,2.8584881556731965,,
2,73,65,172.19986901501875,,
