Hour,from,to,Flow,Pn,Pb
1,32,5,-344.2864672591202,,
1,85,44,-181.5658596187618,,
1,19,58,95.12334315503244,,
1,58,13,-61.95603116531112,,
1,55,62,255.51677164597027,,
1,55,25,-236.35857860268516,,
1,55,64,251.9739719895515,,
1,55,57,-195.71672604979267,,
1,20,88,-119.49468089451875,,
1,20,35,-1.3249127631233746,,
1,20,8,0.4255129303318199,,
1,20,2,-2.264834388513127,,
1,20,61,-61.222534171270524,,
1,20,84,275.16930373962873,,
1,20,52,-3.199373153097845,,
1,88,8,0.8366572235348144,,
1,88,61,-8.714313245369077,,
1,88,84,54.097820297219585,,
1,79,17,49.967640483309424,,
1,79,10,-320.50355953636245,,
1,79,87,53.5593418808096,,
1,79,83,-226.17136690475922,,
1,35,26,8.947074400834708,,
1,26,39,-199.94481525721494,,
1,61,26,0.14732367468276664,,
1,67,26,-2.955620876463751,,
1,40,26,-8.10527312900004,,
1,77,26,-0.14739578586369806,,
1,46,26,-1.8563565485574074,,
1,3,26,2.2378729080672315,,
1,28,26,1.1949020512014226,,
1,43,26,-65.82948055734573,,
1,41,26,-3.9739077687132465,,
1,35,50,-319.0000000000115,,
1,42,35,7.926536225224666,,
1,2,35,49.26979499898425,,
1,61,35,-0.42890216438004813,,
1,67,35,-2.471104050317681,,
1,40,35,-19.12634614242677,,
1,77,35,-0.4363870201680111,,
1,46,35,-41.31088976183878,,
1,3,35,-0.6907292333569401,,
1,52,35,0.12379776240454099,,
1,28,35,0.7954011424480871,,
1,43,35,-4.069384192624469,,
1,41,35,-83.02968230228987,,
1,50,42,-128.767481382622,,
1,39,42,-199.94481525721812,,
1,44,30,0.0,,
1,44,5,-381.7684694605973,,
1,44,9,0.0,,
1,19,47,-0.0914667959942328,,
1,19,13,9.096275416300955,,
1,17,69,-187.69442248559744,,
1,17,29,237.66206296890687,,
1,87,69,-165.2883297730025,,
1,87,1,218.84767165381209,,
1,11,5,-721.5130670673518,,
1,11,81,579.4833647607375,,
1,81,12,237.81771027262084,,
1,81,83,357.85422840627234,,
1,10,18,139.83485187334622,,
1,10,63,-460.33841140970867,,
1,7,69,1700.0,,
1,21,69,341.56724479582954,,
1,21,54,-750.1373756698606,,
1,21,57,408.57013087403084,,
1,59,83,-131.6828615015129,,
1,2,42,104.9559713635523,,
1,27,57,-212.85340482423817,,
1,8,36,-263.219862512291,,
1,8,84,32.17357115726975,,
1,36,31,-50.36645768804374,,
1,2,61,5.357260448665052,,
1,2,52,1.416990673631613,,
1,84,61,-20.07175676685111,,
1,52,61,64.75579107144085,,
1,5,76,251.29356939179615,,
1,5,63,756.9382245004235,,
1,5,89,-600.0,,
1,5,71,-600.0,,
1,5,56,-796.7764265252372,,
1,5,48,-789.3658694358021,,
1,5,60,0.0,,
1,6,34,-330.34249828174416,,
1,67,6,-1.5536554925736112,,
1,65,6,-13.067286969250006,,
1,77,6,-74.25372386958657,,
1,28,6,-8.730093278820135,,
1,43,6,-4.7557416666469745,,
1,41,6,-3.9984933437805292,,
1,48,24,509.76413056419665,,
1,48,68,-1299.13,,
1,84,23,-243.7927567193781,,
1,37,54,699.0410019689548,,
1,51,54,0.0,,
1,33,45,-8.768244124075864,,
1,67,33,-41.476205628735784,,
1,40,33,-0.2972560396633046,,
1,33,65,-21.18104109115734,,
1,3,33,-0.060261005175577864,,
1,33,16,0.5720474110277038,,
1,45,16,12.461755875934614,,
1,74,73,88.03300170574448,,
1,74,69,-301.98044109674674,,
1,86,69,-243.72959158197955,,
1,67,40,-2.1620785495274077,,
1,67,65,-144.06194890160486,,
1,67,77,-4.241023616663895,,
1,67,46,-1.0304991898917315,,
1,67,3,-3.6840495830367246,,
1,28,67,1.9088922107917288,,
